,text
3286,"shes a POS what do u expect,"
3270,you seem concerned.....she started flirting with a guy right in front of him. she deserved to be kicked off a cliff. You should try that sometime. It's hilarious. I'm sure the next white knight gave her a ride without a blink.
3278,"Can you imagine, her detractors will just say ""Oh youve just been a victim of patriachy too long, you brainwashed"""
3263,"I'm sure that kinder gentler baboon troop was soon overtaken by the dump defenders troop with the young being massacred and the females being taken as spoils. Yeah, sounds pretty great."
9957,"1) the “you’re an incel” insult only works on actual incels, so uhh, nice attempt I guess 2) you’re calling me out because I’m insulting women. Therefore you are in fact, defending them"
9836,Ewww gross! You know she starved children right? Yup she imposed a school lunch program that no kid or reasonable.human would eat. I'm still convinced shes a man.. she could break Obama in half. Obama is half the man she is. Lol
6216,"Start looking for another job yesterday pal. This cancer, this tumor, is going to leave a wide trail (pun intended) in her wake as long as the managers keep bending over backwards for her."
11782,"But we already have the stats, biological mothers are the number one abusers of children, though step and foster parents are worse per capita."
9854,"I'd rather have Sigourney Weaver type female characters over the current style of women in movies. She wasn't a Mary Sue, she didn't have these overpowered abilities and she couldn't take on 20 men at a time."
3395,well it is disgusting. but if she wants to get eaten out find another man
9863,"...because if she doesn't do what Soros & Clowns told her to do, it will be SHE who winds up dead. Long list, KKKamala. Why don't you just step down?"
9871,"Yeah but come on TRP/manosphere are outliers, the mainstream does not see this much whining about women. Men still want to get laid and even have relationships as much as ever."
3353,"mgtow can be guy banging chicks Maybe, but it never is"
11403,"Depth of a woman's personality: dogs, Netflix, alcohol, selfies, makeup"
9814,"No, data shows that women think 80% of men are ‘below average’."
3432,"Yeah man I had a plate who did everything for me, untill she started saying I was an enigma and some people talked to me about how I was an emotionless robot with her. I opened up abit and not even a week later she lost interest."
3438,body slam her-
9825,Don't run away like a little [jewish] girl.
11731,They want a husband that does DIY and manly tasks but they don't sleep with them.
8086,But what he said towards the end in the car about the Jewish witch was spot on and I think I broke a rib laughing so much.
6168,Even Nerdy girls want the chads
6254,HITLERY is the evilest woman on the planet. period.
834,I barfed on Hillary Clinton when I landed on her. #Hillary
9798,"You realize this is mgtow, not the single mother fanclub? Jesus man. Here's a pro-tip. Never send a message until you get a reply. Here's another; stop being thirsty AF and dating single mothers. Go get an escort and stop embarrassing yourself."
9805,Every time I hear a woman say 'I don't care.' I immediately know the opposite is true.
11419,"Blacks and Muslims aren't respected by white men and white women marry them. East Asians are ""respected"" by white men and white women don't touch them. Doesn't seem like being respected for low-crime is worth any beans in the darwinian game of life."
824,"It is the preference. Anyone who says they prefer a woman with makeup is an idiot. You aren't actually attracted to them, you are attracted to a caricature."
6114,"Is this going to be the new crusade? Instead of reporting women to the IRS, reporting cheaters to their boyfriends/husbands?"
6118,She's like a Black Widow spider. How long did that take her? Less than a year
6126,Break barrel single-shot shotgun? She needs to talk to her husband and have her get something that will allow her to shoot more than once before she is mobbed.
8118,"I have seen the original pic- that girl is most definitely worthy of breeding, if you don't agree then you are the homosexual."
6180,It's always about me me me me with women.
9745,"True, but the dark can hide terrors. Plus it's still better to go in a group if possible, I just think solo bug out is not with the risk. Of course I'm thinking about my wife and kids but a lone man could make I think. At least for a while."
9768,The women in anime are more feminine than **all** women in the West today. FTFY
804, Can't really pick a side in this one Female Israeli soldier uses martial arts to fight off crowd of ultra-Orthodox demonstrators as they call her a 'wh***'
785,Globogayplex is trying to recruit your wife. 
6060,For bad mouth Black Beauty Maxine? I know that she is owned and owes. Bud is this guy the ownly owner? How many own this trojan horse? How many ride her?
8149,"Thanks for the response brotha, I'll work towards it. It's just another nasty remnant of my beta days. But like you said, I'm a man. Men conquer."
9705,Where do you meet 9's and 10's? Are these girls you're mostly cold approaching?
3618,Massive respect to you for not breaking and unscrewing her head. Seriously.
9717,"Kind of lost me there Stacy is just a hot girl, has nothing to do with hair color, the most Giga Stacey of all time has dark hair and so do many other Stacies Also Charli is a kid lol"
3744,and constantly by cat girls. my man
9565,"ah, those are actresses speaking words written for them -- with the exception of diller who said she wrote 75% of her act -- without men writing for them, they're not funny. case in point: roseanne. can't act and can't write."
6021,"If you're a woman / he-she / it, I'll take that as a compliment."
6010,I hear his sister does communist bukake.
8196,"DangZagnut just sort be new here Says someone whose account is 14 days old. The only one new here is you, and the way you are acting, I highly suspect you are female."
8202,"Show 'em how to shoot like a girl, Katie. "
351,"She is garbage sent here to harm and die. Contaminated by the west, she will be killed by her masters. Don't listen; the real monsters wait in the shadows. You have no idea of the horrors she brings."
3881,The dating situation for black women is extremely pitiful. I actually feel bad for the smarter ones.
761,lol yep--shes such a tough chick🇺🇸
9550,girls who come here love the drama and intrigue of the crazy and aggressive incels. incel game a thing when?
3820,Oooooo. Need to use this more. It's pretty much saying all women already have a husband. Very very good. Well done.
3822,"NGL, that dude looks better than most. If I saw him on the street, I'd think he was a cute chick!"
9441,"That’s what I’m thinking. I’m an ultimate beta, I can get manipulated, I can’t act like a man cause I’m soft. That’s exactly why I don’t want to marry. I’m too insecure."
11441,"dude but look at from the positive. if one girl is thinking that, think about how many others are too. That's an easy fix for literally the next girl you see. That whole story is a net positive man, you just have to change your perspective on it."
11453,"One time I approached a group of three girls with a simple ""can I drink with you"" because I was attracted to one of the girls. Her friend tried to 'guard' her until I started hitting on her instead for her personality."
8236,"The Iron Maiden, the toughest tranny in town."
5920,Has Huma been falling off any bridges recently or is she still holed up in a safe house?
5904,I have some unwashed underwear she can sniff I am not sure if it is sarin but I am positive it is toxic and probably wmd.
6044,just like how asian girls hate asian guys
9420,"harvest ovaries and put down women when it says this they’re gonna throw it out, the chinese will pick it up and ascend"
723,LOOKS MATTER MORE THAN ANYTHING if you want to sleep with high level women. Not even close. Wealth and fame beat looks by a country mile.
727,Thank you for dying for safety of chad and Stacy and their children.
729,How do you fix the dishwasher if it’s not working? Here are some answers from around the world: Upper Left: In Brazil Upper Right: In Armenia Lower Left: In Canada Lower Right: In any Muslim country
4060,I'm sure she will detective Asopaso😉
4042,I like how no one actually cared about the girl afterwards.
4047,You must be NoFap dude my neighbors mom is hotter than her JFL
4152,"Bad for girls - these strategies do not create attraction, but it is fantastic advice when applied to other men. Buy it today. ["
373,as long as you give an explanation to your ratings you won't get banned. i love trolling girls there sometimes.
11681,If one was doing that to my son I'd give my wife brass knuckles so it wouldn't have to be 30 punches like this video
5860,"Shush, ""consent"" is a foreign word to these blokes"
5989,OH great I refused to give on her web site however it seems she is also making a e-mail list... How typical...LOLOL
9409,This is the fallacy of assuming male sexuality is default and female sexuality is a broken version. Honestly this happens WAY too often on here.
4218,"Womyn are always on the market, or to put it in another way: she's not yours, it's just your turn."
691,My first instinct would be to make fun of her for not knowing how to.
697,"Looks more like an old bagger if you ask me, and I'm a woman judging her, lol. I am an old bag in general lol."
4192,"Yup, 51% of the population (women) are allowed to hate on the other 49% (men), who are somehow defined as the majority..."
9304," If you can tell if I am trolling or not trolling, then it's not a very good troll. But other times I just hate women. You'll never know."
8331,"wymyn shouldn't be allowed to vote, let alone hold political office or be on SCOTUS"
5821,"Scalia's shitlib sandnigger daughter in law turns red over Kavanaugh treatment ""led to arguments with my husband & father-in-law        "
8349,disgusting woman.
5796,"Fine, let's set up facebook pages with lists of women who have accused men *falsely* of being pedophiles, rapists, etc."
11665," I hate that chick, I don't like calling her milo, because in my mind there's one ONE Milo, the #DangerousFaggot. I refer to her as Olim."
11484,"I wholeheartedly believe that we all should be using the phrase ""my body, my choice"" in conversations with females. lol."
9325,I mean I’m ok with girls that have flat ironing board bodies too. You got pretty high standards for an incel
4229,"Thankfully, he didn't have to pay her. After following her back to her car she didn't even try to take a tip, she understood"
5771,"But I thought women could instantly detect sexism, creepiness and bad personalities. Oh wait, I meant attractiveness"
8383,I don't like Malaysian girls..
5756,"Not suprising, she needs to find another beta provider before this one dies."
5716,That woman would reject every single person on this sub
5710,"Cels are laughing because a woman they feel is pretty and would reject them, got beaten up."
5683,I've seen women in their 50s hotter than her.
11659,It's a WITCH hunt! Who was the last person you saw on national msm news speaking to a group of women on the ills of womanhood in America? ...just happened to be a group that identifies as a Coven of Witches!!!🤔hmmmm
8322,"Agreed, but the way you said it is. Don't reverse the male female dynamic and think it works the same way...it doesn't. > showering them with compliments"
9266,"Ah, I see. The issue is you're courting camels. They can be quite ornery. I would recommend moving on to human women at some point."
4325," my favorite part of that was how he pointed out... even though she knew she shouldn't accept those questions, she did. LOL! I love that man!"
9281,"Keep it up. Your case is different. In hoping u two get married and have babies within the next 2 months. If you don't get married, I hope she at least bares you a child to solidify your union. Godspeed and good luck"
4292,So I was having my meal at beach and saw my ex getting drown in the water. I thought about saving her but I hate cold food mate.
4280,"One day, I'm gonna be confident enough to not need another guy's or girl's validation. I am really impressed with your confidence. Hope you find the girl who is gf material."
11494,Men are funnier than women---to some other men! &#x200B;
641,"#maxims #LaRochefoucauld ""The greater number of good women are like concealed treasures, safe as no one has searched for them."""
8448,"STEM ain't hard, wamans can do it too!"
8457,Hate and love is two sides of the same coin when it comes to women
8463,"The boys should be killed. OK, now that we have that out of the way, why is a girl meeting two boys in a ditch to buy a knife? I mean, let's not lose sight of that. This was three useless people meeting up and one got the worst of it."
5637,If not talking is your strength then... I'd go for a release of information while you listen to her since it's more important to pay attention to what they say than bombarding them with info
5645,"she should talk, I bet her slyz looks like its been worked over by a bulldozer."
9184,"Non-hypocritically, my pair bonding ability would be ruined for women at my level."
4422,she forgot she was a mom....can we burn her too?
4373,"Yes, indeed it is little girl. My grandma had a great baked macaroni recipe."
5458,"Sounds like good advice. Make a move. Ask her out, touch her, etc. Make an actual move and see what happens."
5463,"""When they go low.....we beat women with flag poles and pepper spray them in the face."" #MiloAtCal And Antifa is a terrorist organization. #GabFam #Maga "
420,Hoochie mama
9125,I feel the same way. It would be nice to have a wife and kids. But it would be horrible to have a vindictive ex and kids I never see. The risk is not worth the reward.
4500,Chilling story. An example of why even living with a woman is extremely dangerous. Pulling for you.
9161,"I've never seen anything like it. At first, i was puzzled. Then I realized that she is going to nudge him to the left. She is not qualified to advise the president on anything except maybe choice of ties."
9162,You're describing 99.9 percent of women who set foot in a gym.
4667,"yes, female incels exist, I happen to know some in person"
4641,It's a sickening thought to realize roughly half our nation's population think we're their enemy because we genuinely support our Constitution. They support Social Justice and Gender Neutrality.... #WeCanNoLongerCoexistInPeace
4645,She will def hit the wall hard and i never found her that attractive to begin with - but i think she has a few more good years left ;) beeing 23 and all
4624,"Agreed. Those are the paws of at least a 38 y/o, 5’3” (160cm) and 190lb (86 kg) woman right there."
4769,I cope with it like I'm imagining punching her in the face.
576,Tha Brothas want dem PAWGs.
8545,Cause fun might hurt someone's fee fees
8547,"Only the top 20% of girls average more than about 2 per year, but that includes those who are in a LTR. It depends on the circles you are travelling in."
5604,"I can see your knees young lady, open up."
4740,"Well I live at my gym, and women are the same everywhere, so it's almost as if I do live at your gym."
4749,Sadly it does... Some women find it to be such a turn off that you even have to ask
8955,Next time she suggest to go somewhere tell her you're helping out / meeting another girl to hang out or so. You will see if she values you. If she doesn't suggest anything ignore her.
4718,"In a bar in San Antonio Texas in 80s, British chic asked if I had hair spray. For the braided hair under her arms. <gag>....🤤🤤"
8976,"Women (when they're referred to as women): I'm not a female <profession>, I'm a <profession> Women (when talking about incarceration): That's not just any prisoner, that's a female prisoner."
5379,"Dating sites are good for two things: Looking at women youre not good enough for, and looking at women you dont want... Guess which ones are gonna hit on you?"
8586,Should've went Mike Tyson on her
5362,"I have the word 'Standards' printed on my underpants. So I can raise them, or lower them, depending on the quality of the women I meet"
8598,"Unlike almost every single society on Earth, pre-Christian Europeans venerated, respected, and placed our women on a pedestal."
5467,Well that's funny because I thought women had no shame.
4944,"I know mine is higher with smart women than dumb women. Or rather, it's lower with dumb women because my lack of knowledge or interest in what (Insert celebrity) did comes across as patronizing."
8856,"I just say ""I'm waiting to fall in love"" which is usually followed by their awwws. It's better to say that rather then giving them logical answers as to why you have made a conscious decision to avoid women."
4931,"Yes, I had to put Maureen in her place more than once!"
8813,"Male and female brains wired differently, scans reveal "
5034,"I’m like seeing 2 girls right now, thinking of maybe adding another 1 or 2. No I’m not trolling, it’s doable, I need to make sure “they” are not needy haha"
8638,"perform FGM on the two doctors female family members, see how they like it. Old Time Tribal Brutality #ShariaLaw"
5290,The right version shows the woman's real identity/nature.
5250,I just bought a smart car. It doesn't turn on when the wife is in the driving seat.
478,"how is that beta, the guy holds no threat so there's no point in you stepping down by making her think that you and this guy even the same level."
5037,Pure sick evil... this woman has no soul. Kristine Marcy SES 
8826,Hasn't TWATFACE TWATTED ABOUT THE HORROR AT HER CONCERT.it is probably putting some vicks under her demoneyes showing how sad she is!
5144,Like I said. Sorry. (Sounds like I hit a nerve? Is he your girlfriend or something?)
518,It just means he was cute or attractive enough I don't think a married girl would want to hug a guy otherwise.
5120,"See, you get it. Happy wife = happy life unless she is a gator as referenced in an earlier post. When she least expects it, give her a little peck on the cheek and then jump outa the way."
5121,Snowflakes better ban female dating strategy then
5072,Did you have another breakdown? Read your posts back you are hysterical woman. Take your meds & leave the cider alone.
5255,white girl is trash Truly surprising
5215,"She did go early. You didn't show up. Chadlite saw the chance of an easy lay. Even if this was only a free dinner for her, for you this was an interesting experience to have."
8689,"standards are different for men and for women. a few white men can theoretically continue the entire white race if all white women mated with them, the opposite isn't true."
8704,"No, they mean like when specifically a black person gets loud and rowdy and how they (the black person) acts in that regard. The article is saying men should avoid women who act like that especially in attention-seeking environments."
5173,Who knew Broadway actors were such drama queens? #Hamilton
5353,"They can never drop the narrative of women as victims, it's astounding."
7287,Well of course she isn't playing *videogames.* That's something icky **boys** play. Gross!
11101,"Yeah right 🤣🤣🤣. Guys who keep female friends around are guys who dont have good male friends and who have trouble getting laid. We all know your type, you arent convincing anyone buddy."
1377,Gorier Allred is a blatant misandrist. Her dad must have molested her.
11975,The next person to play James Bond will be female. Watch it happen.
11997,"Since 1973, America has sanctioned the murder of over 58 Million children so that their Mother's can live as they wish."
7,"Pls she makes me want to vomit, I do not want to see her face or give her any attention. no offense, DG."
11969,lovely? have you seen the state of them both? the niglet looks like an african tranny man (an ugly one at that) and vanessa looks 20 years older than she is. lovely how?
11099,"no he is tall arab Chad lite, I have videos of her naked from when she was a camgirl for a short while"
1389,"Because women are taught by society that men with no ambition and shit personalities are not diserable, so it’s soiciety that needs to change so women can change... easy peasy"
1385,The cute girl at the dog park is also probably getting hallowed out by the basketball team in her spare time or posting her shit for free online though. *shrug
